'0','0ft-0in'
'1','0ft-1in'
'2','0ft-2in'
'3','0ft-3in'
'4','0ft-4in'
'5','0ft-5in'
'6','0ft-6in'
'7','0ft-7in'
'8','0ft-8in'
'9','0ft-9in'
'10','0ft-10in'
'11','0ft-11in'
'12','1ft-0in'
'13','1ft-1in'
'14','1ft-2in'
'15','1ft-3in'
'16','1ft-4in'
'17','1ft-5in'
'18','1ft-6in'
'19','1ft-7in'
'20','1ft-8in'
'21','1ft-9in'
'22','1ft-10in'
'23','1ft-11in'
'24','2ft-0in'
'25','2ft-1in'
'26','2ft-2in'
'27','2ft-3in'
'28','2ft-4in'
'29','2ft-5in'
'30','2ft-6in'
'31','2ft-7in'
'32','2ft-8in'
'33','2ft-9in'
'34','2ft-10in'
'35','2ft-11in'
'36','3ft-0in'
'37','3ft-1in'
'38','3ft-2in'
'39','3ft-3in'
'40','3ft-4in'
'41','3ft-5in'
'42','3ft-6in'
'43','3ft-7in'
'44','3ft-8in'
'45','3ft-9in'
'46','3ft-10in'
'47','3ft-11in'
'48','4ft-0in'
'49','4ft-1in'
'50','4ft-2in'
'51','4ft-3in'
'52','4ft-4in'
'53','4ft-5in'
'54','4ft-6in'
'55','4ft-7in'
'56','4ft-8in'
'57','4ft-9in'
'58','4ft-10in'
'59','4ft-11in'
'60','5ft-0in'
'61','5ft-1in'
'62','5ft-2in'
'63','5ft-3in'
'64','5ft-4in'
'65','5ft-5in'
'66','5ft-6in'
'67','5ft-7in'
'68','5ft-8in'
'69','5ft-9in'
'70','5ft-10in'
'71','5ft-11in'
'72','6ft-0in'
'73','6ft-1in'
'74','6ft-2in'
'75','6ft-3in'
'76','6ft-4in'
'77','6ft-5in'
'78','6ft-6in'
'79','6ft-7in'
'80','6ft-8in'
'81','6ft-9in'
'82','6ft-10in'
'83','6ft-11in'
'84','7ft-0in'
'85','7ft-1in'
'86','7ft-2in'
'87','7ft-3in'
'88','7ft-4in'
'89','7ft-5in'
'90','7ft-6in'
'91','7ft-7in'
'92','7ft-8in'
'93','7ft-9in'
'94','7ft-10in'
'95','7ft-11in'
'96','8ft-0in'
'97','8ft-1in'
'98','8ft-2in'
'99','8ft-3in'
'100','8ft-4in'
'101','8ft-5in'
'102','8ft-6in'
'103','8ft-7in'
'104','8ft-8in'
'105','8ft-9in'
'106','8ft-10in'
'107','8ft-11in'
'108','9ft-0in'
'109','9ft-1in'
'110','9ft-2in'
'111','9ft-3in'
'112','9ft-4in'
'113','9ft-5in'
'114','9ft-6in'
'115','9ft-7in'
'116','9ft-8in'
'117','9ft-9in'
'118','9ft-10in'
'119','9ft-11in'
'120','10ft-0in'
'121','10ft-1in'
'122','10ft-2in'
'123','10ft-3in'
'124','10ft-4in'
'125','10ft-5in'
'126','10ft-6in'
'127','10ft-7in'
'128','10ft-8in'
'129','10ft-9in'
'130','10ft-10in'
'131','10ft-11in'
'132','11ft-0in'
'133','11ft-1in'
'134','11ft-2in'
'135','11ft-3in'
'136','11ft-4in'
'137','11ft-5in'
'138','11ft-6in'
'139','11ft-7in'
'140','11ft-8in'
'141','11ft-9in'
'142','11ft-10in'
'143','11ft-11in'
'144','12ft-0in'
'145','12ft-1in'
'146','12ft-2in'
'147','12ft-3in'
'148','12ft-4in'
'149','12ft-5in'
'150','12ft-6in'
'151','12ft-7in'
'152','12ft-8in'
'153','12ft-9in'
'154','12ft-10in'
'155','12ft-11in'
